game,window,gap_s,prev_time,prev_price,prev_ticker,curr_time,curr_price,curr_ticker
2025-Finals-G7-OKC-IND,close_game(35-65c),188918.0,2025-06-17 19:05:10.464739+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND,2025-06-19 23:33:48.463973+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND
2025-Finals-G5-OKC-IND,close_game(35-65c),148251.6,2025-06-12 03:21:54.354094+00:00,0.3500,KXNBAGAME-25JUN13OKCIND-IND,2025-06-13 20:32:45.950970+00:00,0.6500,KXNBAGAME-25JUN13OKCIND-OKC
2026-Regular-DEN-OKC,close_game(35-65c),100208.5,2026-02-26 23:01:13.663380+00:00,0.6500,KXNBAGAME-26FEB27DENOKC-OKC,2026-02-28 02:51:22.143413+00:00,0.3500,KXNBAGAME-26FEB27DENOKC-DEN
2026-Playoffs-GSW-LAC,close_game(35-65c),43998.7,2026-04-15 14:00:56.842051+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-16 02:14:15.512825+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
2026-Playoffs-GSW-LAC,close_game(35-65c),20842.3,2026-04-15 07:21:16.024191+00:00,0.6500,KXNBAGAME-26APR15GSWLAC-LAC,2026-04-15 13:08:38.330937+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
2026-Regular-DEN-OKC,close_game(35-65c),19499.2,2026-02-25 23:50:49.817453+00:00,0.3600,KXNBAGAME-26FEB27DENOKC-DEN,2026-02-26 05:15:49.035140+00:00,0.3500,KXNBAGAME-26FEB27DENOKC-DEN
2025-Finals-G7-OKC-IND,close_game(35-65c),18118.3,2025-06-17 06:58:08.647563+00:00,0.6500,KXNBAGAME-25JUN19OKCIND-OKC,2025-06-17 12:00:06.967073+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND
2025-Finals-G5-OKC-IND,close_game(35-65c),12223.5,2025-06-13 21:15:44.047229+00:00,0.6500,KXNBAGAME-25JUN13OKCIND-OKC,2025-06-14 00:39:27.559438+00:00,0.3500,KXNBAGAME-25JUN13OKCIND-IND
2025-Christmas-MIN-DEN,close_game(35-65c),9208.5,2025-12-23 00:17:11.665527+00:00,0.3900,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-23 02:50:40.210283+00:00,0.3900,KXNBAGAME-25DEC25MINDEN-MIN
2025-Christmas-MIN-DEN,close_game(35-65c),7504.3,2025-12-22 22:12:07.344362+00:00,0.3900,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-23 00:17:11.665527+00:00,0.3900,KXNBAGAME-25DEC25MINDEN-MIN
